Date,VIX,SPY_Price,Conviction_Score,Original_Contracts,Corrected_Contracts,Entry_Cost_Quoted,Entry_Cost_Actual,Exit_Value_Quoted,Exit_Value_Actual,Total_Entry_Cost,Total_Exit_Value,Gross_PnL,Commissions,Net_PnL,Return_Pct,Account_Balance,Original_PnL,Capital_Required
2024-06-13,11.319362200369472,547.599187338856,8,116,3,4.5,450.0,1.4162675264050062,141.62675264050063,1350.0,424.8802579215019,-925.1197420784981,3.9000000000000004,-929.0197420784981,-68.81627719099987,24070.980257921503,-357.7129669370193,1350.0
2024-06-14,10.547610771075012,549.8815729474492,8,114,3,4.5,450.0,40.17305237621993,4017.305237621993,1350.0,12051.915712865979,10701.915712865979,3.9000000000000004,10698.01571286598,792.445608360443,34768.99597078748,4066.727970889072,1350.0
2024-06-17,13.81201903143955,549.920881677305,7,133,3,4.5,450.0,28.70783536056603,2870.7835360566028,1350.0,8612.350608169809,7262.350608169809,3.9000000000000004,7258.450608169809,537.6630080125784,42027.446578957286,3219.642102955282,1350.0
2024-06-18,13.689834266336058,553.9095421427138,7,148,3,4.5,450.0,2.4401198663671595,244.01198663671596,1350.0,732.0359599101479,-617.9640400898521,3.9000000000000004,-621.8640400898521,-46.06400296961867,41405.582538867435,-304.86225977766037,1350.0
2024-06-20,15.211668620356834,553.3162688393382,6,147,3,4.5,450.0,40.96664257695974,4096.664257695974,1350.0,12289.99277308792,10939.99277308792,3.9000000000000004,10936.092773087921,810.0809461546609,52341.675311955354,5360.596458813082,1350.0
2024-06-21,14.084870609375724,555.1715113658765,6,172,3,4.5,450.0,1.957474685339478,195.7474685339478,1350.0,587.2424056018434,-762.7575943981566,3.9000000000000004,-766.6575943981566,-56.789451436900485,51575.017717557195,-437.31435412160977,1350.0
2024-06-25,13.012773088887991,559.2210938188446,7,169,3,4.5,450.0,1.612630496921426,161.2630496921426,1350.0,483.7891490764278,-866.2108509235723,3.9000000000000004,-870.1108509235722,-64.45265562396831,50704.906866633624,-487.965446020279,1350.0
2024-06-26,15.066033800858492,553.6883747721032,6,167,3,4.5,450.0,1.1148433339538055,111.48433339538056,1350.0,334.4530001861417,-1015.5469998138583,3.9000000000000004,-1019.4469998138583,-75.51459257880431,49685.459866819765,-565.3211632297144,1350.0
2024-06-27,14.337863722192283,561.5180002477186,6,165,3,4.5,450.0,2.005204317417827,200.52043174178272,1350.0,601.5612952253482,-748.4387047746518,3.9000000000000004,-752.3387047746518,-55.7287929462705,48933.121162045114,-411.6412876260585,1350.0
2024-06-28,16.505991247269815,561.568184742931,5,163,3,4.5,450.0,19.726198109043185,1972.6198109043185,1350.0,5917.859432712956,4567.859432712956,3.9000000000000004,4563.959432712956,338.0710690898486,53497.08059475807,2481.8702917740393,1350.0
2024-07-01,14.678534497533292,557.0996446968522,6,174,3,4.5,450.0,1.6813287055392143,168.13287055392144,1350.0,504.39861166176433,-845.6013883382357,3.9000000000000004,-849.5013883382356,-62.92602876579523,52647.57920641983,-490.4488052361767,1350.0
2024-07-02,18.837464469298652,558.5595035814898,5,81,3,4.5,450.0,0.0,0.0,1350.0,0.0,-1350.0,3.9000000000000004,-1353.9,-100.28888888888889,51293.67920641983,-482.0215363199313,1350.0
2024-07-03,13.62180742739794,556.0909849357192,7,170,3,4.5,450.0,2.4880674483135063,248.80674483135064,1350.0,746.4202344940519,-603.5797655059481,3.9000000000000004,-607.4797655059481,-44.99850114858875,50686.199440913886,-342.0285337867039,1350.0
2024-07-04,16.762361633555656,551.8625957780501,5,168,3,4.5,450.0,3.0954664530480773,309.5466453048077,1350.0,928.6399359144232,-421.3600640855768,3.9000000000000004,-425.2600640855768,-31.500745487820502,50260.93937682831,-235.96163588792305,1350.0
2024-07-05,15.299942184133611,547.711265426532,6,167,3,4.5,450.0,2.439880626217236,243.9880626217236,1350.0,731.9641878651707,-618.0358121348293,3.9000000000000004,-621.9358121348292,-46.06931941739476,49639.003564693485,-344.0399354217216,1350.0
2024-07-08,14.785048116792687,548.3566096943541,6,165,3,4.5,450.0,34.92943032429153,3492.943032429153,1350.0,10478.829097287458,9128.829097287458,3.9000000000000004,9124.929097287459,675.9206738731451,58763.93266198094,5020.856003508103,1350.0
2024-07-09,15.585058559594977,547.2740396099415,6,189,3,4.5,450.0,31.650626295434186,3165.0626295434186,1350.0,9495.187888630255,8145.187888630255,3.9000000000000004,8141.287888630255,603.0583621207596,66905.2205506112,5131.468369837061,1350.0
2024-07-10,15.951726212341509,548.4443488371331,6,213,3,4.5,450.0,20.220280769064765,2022.0280769064764,1350.0,6066.084230719429,4716.084230719429,3.9000000000000004,4712.184230719429,349.0506837569948,71617.40478133062,3348.4198038107943,1350.0
2024-07-11,18.847390544566224,545.4881721082123,5,149,3,4.5,450.0,5.594884982739462,559.4884982739462,1350.0,1678.4654948218385,328.46549482183855,3.9000000000000004,324.56549482183857,24.041888505321378,71941.97027615247,163.13786242817983,1350.0
