timestamp,strategy_type,trade_type,market_regime,confidence,position_size_pct,contracts,entry_price,exit_price,position_cost,pnl,outcome,capital_after,rsi,momentum,bb_position,vix_level
2024-12-09 09:28,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,1,2.141484147531234,3.1161175997263637,214.1484147531234,97.46334521951297,WIN,25097.463345219512,0.0,-0.00017663630008477634,0.0225970861190193,15.223664445437837
2024-12-09 09:36,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,2,1.2939652420348406,1.8829248869469972,258.7930484069681,117.79192898243133,WIN,25215.255274201943,0.0,-0.0002326492011942476,0.033964633139422884,15.087192025587939
2024-12-09 09:37,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,3,0.817538189646122,1.1896518413455177,245.26145689383662,111.63409550981868,WIN,25326.889369711764,0.0,-0.00023975384859461655,0.03510308003854465,15.180030832732111
2024-12-09 09:44,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,1,2.777285691398776,4.0414979393526,277.7285691398776,-97.20499919895715,LOSS,25229.684370512805,0.0,-0.00028871490038376616,0.04118184484903571,15.112414281980042
2024-12-09 10:02,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,3,0.7615158328133442,1.1082210858550003,228.45474984400326,-79.95916244540113,LOSS,25149.725208067404,0.0,-0.0004147292288719889,0.04838896247091403,15.389756415498782
2024-12-09 10:08,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,1,2.705654569272189,3.93757177487917,270.5654569272189,123.19172056069806,WIN,25272.916928628103,0.0,-0.0004572578584746826,0.05014858083558331,15.224773780636111
2024-12-09 10:10,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,2,1.0355902255011478,1.5071167390128062,207.11804510022955,-72.49131578508033,LOSS,25200.425612843024,0.0,-0.00047108865956370144,0.050749249813190324,16.061194150772447
2024-12-09 10:14,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,1,2.0027937148265873,2.9147465506342973,200.27937148265872,-70.09778001893055,LOSS,25130.327832824092,0.0,-0.0004987140354508523,0.051692123284065354,16.063464078756873
2024-12-09 10:17,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,2,1.190987384976819,1.7333096693221042,238.19747699536381,108.46445686905705,WIN,25238.79228969315,0.0,-0.0005204216748134623,0.051922835836620065,15.630961889606052
2024-12-09 10:21,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,2,1.100237590210453,1.6012575679658236,220.04751804209062,100.20399555107409,WIN,25338.996285244222,0.0,-0.0005484985250235226,0.052683844390694456,15.090032964449547
2024-12-10 09:16,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,2,1.2473384140427373,1.81494555728889,249.46768280854747,-87.31368898299161,LOSS,25251.68259626123,0.0,-8.007069035831878e-05,-0.024003240213769508,15.995622106367964
2024-12-10 09:30,VIX_SPIKE_CALL,HIGH_CONVICTION,ranging,0.5,1.2,1,2.904143980844741,4.225853696290369,290.4143980844741,-101.64503932956593,LOSS,25150.037556931664,0.0,-0.00016356778976961054,0.02689051112706157,15.304285690372964
