date,spy_price,vix,vix_regime,strategy,position_size,net_credit,max_loss,profit,is_profitable,final_spy_price,market_move,success_rate,account_value
2024-02-07,498.1,12.829999923706055,LOW,CALL_CREDIT_SPREAD,1,0.006400861406809491,4.993599138593191,0.6400861406809492,True,500.5741331961489,0.004967141530112327,0.65,25000.64008614068
2024-02-08,498.32,12.789999961853027,LOW,CALL_CREDIT_SPREAD,1,0.3586770314875885,4.641322968512411,35.86770314875885,True,500.79522596728555,0.004967141530112327,0.65,25036.50778928944
2024-02-13,494.08,15.850000381469727,NEUTRAL,SHORT_STRADDLE,3,0.31,0.9299999999999999,-279.0,False,497.76124793079686,0.0074507122951684894,0.6,24757.50778928944
2024-02-20,496.76,15.420000076293945,NEUTRAL,SHORT_STRADDLE,3,0.8,2.4000000000000004,-720.0000000000001,False,500.4612158397479,0.0074507122951684894,0.6,24037.50778928944
2024-02-21,497.21,15.34000015258789,NEUTRAL,SHORT_STRADDLE,1,2.2199999999999998,6.659999999999999,-169.45686602807362,False,500.91456866028074,0.0074507122951684894,0.6,23868.050923261366
2024-02-26,505.99,13.739999771118164,LOW,CALL_CREDIT_SPREAD,1,0.06533437423104055,4.934665625768959,6.533437423104055,True,508.5033239428215,0.004967141530112327,0.65,23874.58436068447
2024-03-11,511.28,15.220000267028809,NEUTRAL,SHORT_STRADDLE,3,0.52,1.56,-468.0,False,515.0894001822737,0.0074507122951684894,0.6,23406.58436068447
2024-04-04,513.07,16.350000381469727,NEUTRAL,SHORT_STRADDLE,3,0.47000000000000003,1.4100000000000001,-423.00000000000006,False,516.8927369572822,0.0074507122951684894,0.6,22983.58436068447
2024-04-05,518.43,16.030000686645508,NEUTRAL,SHORT_STRADDLE,3,0.39999999999999997,1.2,-359.99999999999994,False,522.2926727751842,0.0074507122951684894,0.6,22623.58436068447
2024-04-08,518.72,15.1899995803833,NEUTRAL,SHORT_STRADDLE,2,0.96,2.88,-524.9666963499822,False,522.5848334817499,0.0074507122951684894,0.6,22098.617664334488
2024-04-10,514.12,15.800000190734863,NEUTRAL,SHORT_STRADDLE,1,3.55,10.649999999999999,-40.056020519211884,False,517.9505602051921,0.0074507122951684894,0.6,22058.561643815276
2024-04-12,510.85,17.309999465942383,NEUTRAL,SHORT_STRADDLE,1,1.4700000000000002,4.41,-218.61963759868374,False,514.6561963759868,0.0074507122951684894,0.6,21839.942006216592
2024-04-15,504.45,19.229999542236328,NEUTRAL,SHORT_STRADDLE,3,0.33,0.99,-297.0,False,508.2085118172978,0.0074507122951684894,0.6,21542.942006216592
2024-04-16,503.53,18.399999618530273,NEUTRAL,SHORT_STRADDLE,1,1.77,5.3100000000000005,-151.16571619862316,False,507.28165716198623,0.0074507122951684894,0.6,21391.77629001797
2024-04-17,500.55,18.209999084472656,NEUTRAL,SHORT_STRADDLE,3,0.5,1.5,-450.0,False,504.27945403934666,0.0074507122951684894,0.6,20941.77629001797
2024-04-18,499.52,18.0,NEUTRAL,SHORT_STRADDLE,3,0.43,1.29,-387.0,False,503.2417798056826,0.0074507122951684894,0.6,20554.77629001797
2024-04-19,495.16,18.709999084472656,NEUTRAL,SHORT_STRADDLE,3,0.39,1.17,-351.0,False,498.8492947000757,0.0074507122951684894,0.6,20203.77629001797
2024-04-22,499.72,16.940000534057617,NEUTRAL,SHORT_STRADDLE,2,0.73,2.19,-438.0,False,503.4432699481417,0.0074507122951684894,0.6,19765.77629001797
2024-04-23,505.65,15.6899995803833,NEUTRAL,SHORT_STRADDLE,3,0.27,0.81,-243.00000000000003,False,509.417452672052,0.0074507122951684894,0.6,19522.77629001797
2024-04-24,505.41,15.970000267028809,NEUTRAL,SHORT_STRADDLE,1,1.52,4.5600000000000005,-265.5664501101153,False,509.17566450110115,0.0074507122951684894,0.6,19257.209839907853
2024-04-25,503.49,15.369999885559082,NEUTRAL,SHORT_STRADDLE,1,4.63,13.89,38.86408665055727,True,507.2413591334944,0.0074507122951684894,0.6,19296.07392655841
2024-04-26,508.26,15.029999732971191,NEUTRAL,SHORT_STRADDLE,3,0.27,0.81,-243.00000000000003,False,512.0468990311424,0.0074507122951684894,0.6,19053.07392655841
2024-04-30,501.98,15.649999618530273,NEUTRAL,SHORT_STRADDLE,2,0.8600000000000001,2.58,-516.0,False,505.72010855792877,0.0074507122951684894,0.6,18537.07392655841
2024-05-01,500.35,15.390000343322754,NEUTRAL,SHORT_STRADDLE,2,0.72,2.16,-432.0,False,504.07796389688764,0.0074507122951684894,0.6,18105.07392655841
2024-05-06,516.57,13.489999771118164,LOW,CALL_CREDIT_SPREAD,1,0.3586770314875885,4.641322968512411,35.86770314875885,True,519.1358763002102,0.004967141530112327,0.65,18140.94162970717
2024-05-22,529.83,12.289999961853027,LOW,CALL_CREDIT_SPREAD,1,0.1,4.9,10.0,True,532.4617405968994,0.004967141530112327,0.65,18150.94162970717
2024-07-18,552.66,15.930000305175781,NEUTRAL,SHORT_STRADDLE,3,0.55,1.6500000000000001,-495.0,False,556.7777106570478,0.0074507122951684894,0.6,17655.94162970717
2024-07-19,548.99,16.520000457763672,NEUTRAL,SHORT_STRADDLE,2,0.6,1.7999999999999998,-359.99999999999994,False,553.0803665429246,0.0074507122951684894,0.6,17295.94162970717
2024-07-24,541.23,18.040000915527344,NEUTRAL,SHORT_STRADDLE,1,1.16,3.4799999999999995,-310.25490155140824,False,545.2625490155141,0.0074507122951684894,0.6,16985.68672815576
2024-07-25,538.41,18.459999084472656,NEUTRAL,SHORT_STRADDLE,2,0.7100000000000001,2.1300000000000003,-426.00000000000006,False,542.4215380068417,0.0074507122951684894,0.6,16559.68672815576
