date,time,signal,contracts,option_price,strike,right,confidence,spy_price_at_entry,stop_loss_price,profit_target_price,exit_price,exit_reason,pnl,return_pct,cumulative_pnl,win,trade_number
2024-07-15,21:47:36,BUY_PUT,5,1.64,595.0,P,0.5333333333333333,589.7053847149656,0.82,3.28,2.1163494334291526,EOD_EXPIRATION,238.17471671457636,29.045697160314194,238.17471671457636,True,1
2024-07-15,21:47:36,BUY_CALL,8,1.0,585.0,C,0.6666666666666666,584.0013392979528,0.5,2.0,0.059825629956053054,EOD_EXPIRATION,-752.1394960351575,-94.0174370043947,-513.9647793205812,False,2
2024-07-15,21:47:36,BUY_PUT,3,2.13,590.0,P,0.5,589.2690261270802,1.065,4.26,0.04807478646159001,EOD_EXPIRATION,-624.577564061523,-97.74296777175635,-1138.5423433821043,False,3
2024-07-15,21:47:36,BUY_CALL,4,2.82,585.0,C,0.5,584.6640840748769,1.41,5.64,1.41,STOP_LOSS,-564.0,-50.0,-1702.5423433821043,False,4
2024-07-15,21:47:36,BUY_CALL,4,2.1,590.0,C,0.6666666666666666,587.6919235594008,1.05,4.2,1.3784349971931098,EOD_EXPIRATION,-288.6260011227561,-34.36023822889954,-1991.1683445048604,False,5
2024-07-15,21:47:36,BUY_PUT,5,1.12,585.0,P,0.5,586.2002318273186,0.56,2.24,2.24,PROFIT_TARGET,560.0,100.0,-1431.1683445048604,True,6
2024-07-15,21:47:36,BUY_PUT,2,2.76,580.0,P,0.6333333333333333,582.0398892997207,1.38,5.52,1.38,STOP_LOSS,-276.0,-50.0,-1707.1683445048604,False,7
2024-07-15,21:47:36,BUY_CALL,4,2.98,585.0,C,0.6,585.717200152162,1.49,5.96,0.030042049970752674,EOD_EXPIRATION,-1179.9831800116988,-98.99187751775997,-2887.151524516559,False,8
2024-07-15,21:47:36,BUY_CALL,3,2.73,580.0,C,0.6,581.4547636729324,1.365,5.46,0.01298682471340092,EOD_EXPIRATION,-815.1039525859798,-99.52429213504026,-3702.255477102539,False,9
2024-07-16,21:47:36,BUY_CALL,4,2.4,585.0,C,0.5,582.7576720023369,1.2,4.8,0.08133155257251846,EOD_EXPIRATION,-927.4673789709926,-96.6111853094784,-4629.722856073531,False,10
2024-07-16,21:47:36,BUY_PUT,3,2.12,585.0,P,0.5,581.9998065362557,1.06,4.24,0.0454974289132534,EOD_EXPIRATION,-622.350771326024,-97.85389486258238,-5252.073627399555,False,11
2024-07-16,21:47:36,BUY_CALL,2,2.18,575.0,C,0.5333333333333333,582.0003538522104,1.09,4.36,4.36,PROFIT_TARGET,436.00000000000006,100.0,-4816.073627399555,True,12
2024-07-16,21:47:36,BUY_CALL,6,1.98,590.0,C,0.5,588.2430675754499,0.99,3.96,0.99,STOP_LOSS,-594.0,-50.0,-5410.073627399555,False,13
2024-07-16,21:47:36,BUY_PUT,7,0.53,585.0,P,0.6,584.1538736588958,0.265,1.06,1.06,PROFIT_TARGET,371.0,100.0,-5039.073627399555,True,14
