date,strategy,vix_level,call_strike,put_strike,status
2024-06-13,sell_straddle,15.95639989156844,550.0,550.0,executed
2024-06-17,buy_straddle,19.457953844323477,550.0,550.0,executed
2024-06-18,buy_straddle,19.1785073681336,550.0,550.0,executed
2024-06-20,buy_straddle,18.871053812898413,550.0,550.0,executed
2024-06-21,sell_straddle,13.250528192594086,550.0,550.0,executed
2024-06-25,sell_straddle,16.267570300376185,550.0,550.0,executed
2024-06-26,buy_straddle,22.448479147127436,550.0,550.0,executed
2024-06-27,sell_straddle,14.575443774315156,550.0,550.0,executed
2024-06-28,sell_straddle,16.17358580309525,550.0,550.0,executed
2024-07-01,buy_straddle,21.810422857715324,550.0,550.0,executed
2024-07-02,sell_straddle,15.923848367036866,550.0,550.0,executed
2024-07-03,buy_straddle,19.323574387209877,550.0,550.0,executed
2024-07-05,buy_straddle,18.74480034956228,550.0,550.0,executed
2024-07-08,buy_straddle,21.948139075999773,550.0,550.0,executed
2024-07-09,buy_straddle,22.151914009631437,550.0,550.0,executed
2024-07-10,sell_straddle,16.393814461605142,550.0,550.0,executed
2024-07-11,buy_straddle,18.779569035482858,550.0,550.0,executed
2024-07-12,sell_straddle,15.581304900240307,550.0,550.0,executed
